what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal Error",1344525160979
error,log,,,"Internal Error",1344525161275
error,log,,,"Internal Error",1344525161436
error,log,,,"Internal Error",1344525161935
error,log,,,"Internal Error",1344525163499
error,log,,,"Internal Error",1344525219859
error,log,,,"Internal Error",1344525219972
error,log,,,"Internal Error",1344525220217
error,log,,,"Internal Error",1344525220264
error,log,,,"Internal Error",1344525220287
error,log,,,"Internal Error",1344525220700
error,log,,,"Internal Error",1344525221364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344525232059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344525244306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344525249304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344525297663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344525299615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344525366910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344525368007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344525390704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525395273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525408038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525419265
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344525426022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525485439
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344525485487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344525565236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525573506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525586807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525588003
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344525591418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525595583
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344525595616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344525627458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525630444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525641975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525652334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525658733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344525693226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525697820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525709252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525712578
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344525715725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525718862
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344525718903
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344525720974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525759527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344525762890
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344525762939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344525781203
